ed,Date (Planned),Date (Published),Month,Day,Name,Title,Detail,Examples,Status,Creator,Time (in minutes),Video Link,Sound/Music
86,Jan/11/24,11 Jan 2024,January,Thursday,"List to Dictionary
Dictionary to tuple","Interview Question / list to
 Dictionary /Dictionary to tuple","In this video i desscussed about the ""Interview 
Question / list toDictionary /Dictionary to tuple""",2,Done,Rimsha,4,https://youtu.be/Le4kgevQoOE,FALSE
87,Jan/11/24,11 Jan 2024,January,Thursday,Timestamp to Datetime,Convert Timestamp to Datetime,"In this video i desscussed about the convert 
Timestamp to Datetime",2,Done,Rimsha,5,https://youtu.be/ktoWIGmeGGo,FALSE
88,Jan/11/24,11 Jan 2024,January,Thursday,len(),Len function in python,"In this video i desscussed about the Len function
in python",3,Done,Rimsha,5,https://youtu.be/CSdDKLWAgS8,FALSE
89,Jan/11/24,11 Jan 2024,January,Thursday,lambda,Nasted lambda function in python,"In this video i desscussed about the Nasted
lambda function in python",,Done,Shumaila,7,https://youtu.be/xmuqjUYE3OI,TRUE
90,Jan/11/24,11 Jan 2024,January,Thursday,"min()
max()",min () max () function in python,"In this video i desscussed about the min () max () 
function in python",,Done,Shumaila,8,https://youtu.be/zzctTnWcCS8,TRUE
91,Jan/11/24,11 Jan 2024,January,Thursday,"Set.insert()
Set.update()",Intersection update method in python,in this video i will disscuss about the Intersection update method in python,4,Done,Mehraj,,https://youtu.be/a7al1MZiiMU,TRUE
92,Jan/11/24,11 Jan 2024,January,Thursday,Set.difference_update(),Difference update in python,in this video i will disscuss about the Difference update in python,4,Done,Mehraj,12,https://youtu.be/6SBq-bWu-Ko,TRUE
93,Jan/11/24,11 Jan 2024,January,Thursday,Set.symmertric_difference_update(),Symmetric_difference update in python,in this video i will disscuss about the Symmetric_difference update in python,3,Done,Mehraj,7,https://youtu.be/QnCh59UfW3g,TRUE
94,Jan/12/24,12 Jan 2024,January,Friday,import,Important Function in Python,"In this video i desscussed about the Important 
Function in Python",3,Done,Rimsha,6,https://youtu.be/WGb8bfdl6_Y,FALSE
95,Jan/12/24,12 Jan 2024,January,Friday,import,Important Function in Python part-02,"In this video i desscussed about the Important 
Function in Python part-02",3,Done,Rimsha,7,https://youtu.be/Zu9QzjG6w2I,FALSE
96,Jan/12/24,12 Jan 2024,January,Friday,return,Return statement in python,"In this video i desscussed about the Return 
statement in python",3,Done,Rimsha,5,https://youtu.be/5zeKRLYSqxg,FALSE
97,Jan/12/24,12 Jan 2024,January,Friday,Average of N number,find Average of  N numbers in python,"""In this video i desscussed about the find
 Average of N Numbers in python",,Done,Shumaila,3,https://youtu.be/ASfdXhM0RV4,FALSE
98,Jan/12/24,12 Jan 2024,January,Friday,"id()
type()
getsizeof()","id () function , type () function, 
getsizeof () function in python","""In this video i desscussed about the id () function,
type () function, getsizeof function in python",,Done,Shumaila,7,https://youtu.be/Nsaf4mTlPIQ,TRUE
99,Jan/12/24,12 Jan 2024,January,Friday,passing Array,passing Array to function in python,"In this video i desscussed about the passing array to
function in python",,Done,Shumaila,7,https://youtu.be/RYrYi1zbHuI,FALSE
100,Jan/13/24,13 Jan 2024,January,Saturday,Set.issubset(),issubset method in python,in this video i will disscuss about the issubset method in python  i explained how to use it and what is issubset? i explaind it with a multiple examples for understanding viewers.,4,Done,Mehraj,9,https://youtu.be/ZdSDyZcVDTc,TRUE
101,Jan/13/24,13 Jan 2024,January,Saturday,Set.issuperset(),issuperset method in python,in this video i will disscuss about the issuperset method in python  i explained how to use it and what is issuperset? i explaind it with a multiple examples for understanding viewers.,4,Done,Mehraj,9,https://youtu.be/vYxj9cU4XMU,TRUE
102,Jan/13/24,13 Jan 2024,January,Saturday,Return vs print,Return vs print function in python,"In this video i desscussed about the Return vs
 print function in python",3,Done,Rimsha,3,https://youtu.be/RjjblMbSmf4,FALSE
103,Jan/13/24,13 Jan 2024,January,Saturday,print(),print statement in python,"In this video i desscussed about the print 
statement in python",4,Done,Rimsha,4,https://youtu.be/Ut3UFG3ds08,FALSE
104,Jan/13/24,13 Jan 2024,January,Saturday,Set.isdisjoin(),isdisjoin method in python,in this video i will disscuss about the isdisjoint method in python  i explained how to use it and what is isdisjoint? i explaind it with a multiple examples for understanding viewers.,4,Done,Mehraj,10,https://youtu.be/7IjM0oFKbU4,TRUE
105,Jan/13/24,13 Jan 2024,January,Saturday,passing Array,passing Array to function in python,"In this video i desscussed about the passing
 Array of function in python",,Done,Shumaila,,https://youtu.be/RYrYi1zbHuI,TRUE
106,Jan/13/24,13 Jan 2024,January,Saturday,local variables,local variable,"In this video i desscussed about the local variable
 in python",,Done,Shumaila,,https://youtu.be/OsAm-6Eai-8,TRUE
107,Jan/15/24,15 Jan 2024,January,Monday,"Set.remove()
Set.discard()",remove an item from set in python,In this video i desscussed about how to remove items from set by using remove() and discard() method in python,4,Done,Mehraj,9,https://youtu.be/SznbDaF7v3U,TRUE
108,Jan/15/24,16 Jan 2024,January,Tuesday,pass,pass statement in python,"In this video i desscussed about the pass
 statement in python",3,Done,Rimsha,7,https://youtu.be/0roy1OzkTlo,FALSE
109,Jan/17/24,17 Jan 2024,January,Wednesday,"Set.remove()
Set.discard()",Part 2:remove an item from set in python,in this video i disscussed about Part 2:remove an item from set in python,5,Done,Mehraj,14,https://youtu.be/7yw_yYD_gN4,TRUE
110,Jan/17/24,17 Jan 2024,January,Wednesday,map(),map( ) function in python,in this video i disscuss about the higher map ( ) function in python,3,Done,Mehraj,8,https://youtube.com/watch?v=F0yA3rcCj5k,TRUE
111,Jan/17/24,17 Jan 2024,January,Wednesday,passing list,passing list to function,"In this video i disscussed the passing list to 
function in python",3,Done,Rimsha,10,https://youtu.be/it_MB_ioETE,TRUE
112,Jan/17/24,17 Jan 2024,January,Wednesday,pass,pass keyword in python,"In this video i disscussed the pass keyword in 
python",3,Done,Rimsha,,,TRUE
113,Jan/17/24,17 Jan 2024,January,Wednesday,continue,continue statement in python,"In this video i disscussed about the continue
 statement in python",,Done,Shumaila,8,https://youtu.be/__0d0twZ4Aw,TRUE
114,Jan/17/24,17 Jan 2024,January,Wednesday,filter(),filter() function in python,in this video i disscuss about the higher filter( ) function in python,3,Done,Mehraj,9,https://youtu.be/TaJAONE4dBE,TRUE
115,Jan/18/24,17 Jan 2024,January,Wednesday,Tuple concatinate,Tuple concatinate in pyton,"In this video i disscussed about the tuple concatinate 
in python",3,Done,Shumaila,10,https://youtu.be/PYo499uNbWU,TRUE
116,Jan/18/24,18 Jan 2024,January,Thursday,abs(),abs( ) function in python,in this video i explain what is abs(  ) function and how to use it?i explain this with multiple examples so it will be easy to understan.,3,Done,Mehraj,,https://youtu.be/34HrsnUbVeM,TRUE
117,Jan/19/24,19 Jan 2024,January,Friday,sorted(),sorted( ) function in python,in this video i discuss about the sorted function what is sorted function and how to use it the sorted function returns the ascending order to descending or descending to ascending order.,4,Done,Mehraj,8,https://youtu.be/X2cgY-_9GHU,FALSE
118,Jan/19/24,19 Jan 2024,January,Friday,"for
Set",Access set using for loop,"In this video i disscussed about the Access set using 
for loop in python",3,Done,Rimsha,6,https://youtu.be/h9W6mLgtbW8,FALSE
119,Jan/19/24,19 Jan 2024,January,Friday,zip(),zip(  ) function in python,in this video i discuss about the zip( ) function in python the zip function is very easy function in python and its easy to understand i explain this with multiple examples.,5,Done,Mehraj,12,https://youtu.be/LbCBvqdJ2Sw,TRUE
120,Jan/19/24,19 Jan 2024,January,Friday,"det
tuple",Deleting tuple in python ,"In this video i disscussed about the Deleting tuple
 in python",3,Done,Shumaila,13,https://youtu.be/0KTdBtw9ivY,FALSE
121,Jan/20/24,20 Jan 2024,January,Saturday,Repetition tuple,Repetition  tuple in python,"in this video i disscussed about the Repetion tuple 
in python",3,Done,Shumaila,11,https://youtu.be/olJdf6DPD_I,FALSE
122,Jan/20/24,20 Jan 2024,January,Saturday,Copying set Element,copying set Element in python,"In this video i disscussed about copying set Element
in python",3,Done,Rimsha,8,https://youtu.be/_CJMI6yB_Fw,FALSE
123,Jan/22/24,22 Jan 2024,January,Monday,"Adding Single and Multiple
 Set Elements","Adding Single and Multiple Set Elements
 in Python","In this video i disscussed about Adding Single and 
Multiple Set Elements in Python",5,Done,Rimsha,16,https://youtu.be/1WU5v-5dAjM,FALSE
124,Jan/22/24,22 Jan 2024,January,Monday,input(),input( ) function in python,in this video i dicuss about how to take input from user by using input function in python I explain it with multiples so i will be easy to understand for viewers.,4,Done,Mehraj,12,https://youtu.be/ELLUH47V6o8,TRUE
125,Jan/22/24,22 Jan 2024,January,Monday,set,remove an item from set in python,,5,Done,Mehraj,14,https://youtu.be/7yw_yYD_gN4,TRUE
126,Jan/23/24,23 Jan 2024,January,Tuesday,next(),Next( ) function in python,in this video i dicuss about how to take next( ) function in python I explain it with multiples so i will be easy to understand for viewers.,3,Done,Mehraj,18,https://youtu.be/JZe7Eltqlnw,TRUE
127,Jan/23/24,23 Jan 2024,January,Tuesday,Deleting set Element,Deleting set element in python,"In this video i disscussed about a Deleting set element
in python i explain remove method and discard method",3,Done,Rimsha,11,https://youtu.be/i_u17aluI78,FALSE
128,Jan/23/24,23 Jan 2024,January,Tuesday,Leap year,Leap year in python,In this video i disscssed about leap year in python,,Done,Rimsha,8,https://youtu.be/0lkxcbxNF0c,FALSE
129,Jan/23/24,23 Jan 2024,January,Tuesday,Diamond,python diamond pattern,in this video i explain how to create diamond by usninf python code ,,Done,Mehraj,11,https://youtu.be/2r963PolmEU,TRUE
130,Jan/24/24,24 Jan 2024,January,Wednesday,"id()
bin()",In-built function in python,"In this video i disscussed about In-built function in python
 i explain id() function and bin() function ",7,Done,Rimsha,13,https://youtu.be/Kc2FPgyRGss,FALSE
131,Jan/24/24,24 Jan 2024,January,Wednesday,in,membership operator 1st type (in),"in this video i desscussed about membership operator 
1st type (in)",4,Done,Shumaila,12,https://youtu.be/viUV5JOSzGI,TRUE
132,Jan/25/24,25 Jan 2024,January,Thursday,not in,membership operator 2nd type (not in),"in this video i disscussed about membership operator and
 type not in ",4,Done,Shumaila,11,https://youtu.be/3KJEX7_8Wv0,TRUE
133,Jan/26/24,26 Jan 2024,January,Friday,"any()
all()","In-built function in python 
1.any() function
2.all() function","In this video i disscussed about In-built function in python 
i explain how to creata a any() function and all() function",3,Done,Rimsha,10,https://youtu.be/m8e-V89ubjk,FALSE
134,Jan/26/24,26 Jan 2024,January,Friday,"min()
max()",min( ) function in python,"in this video i disscuss about the min( ) function in python
what is min(  ) function?
how to use it?",4,Done,Mehraj,13,https://www.youtube.com/watch?v=SkCTd9W-bis,FALSE
